ID,Protein,Protein_class,Regime,CCI,Protein_conc,Stabilizer,Stab_conc_M,Buffer_pH,Obs_visc_cP,Base_visc_cP,Delta_log10,Prior_correct
281,ibalizumab,mab_igg4,Far,0.3430,55.0000,sucrose,0.5000,6.0000,1.9300,1.2430,0.1913,True
284,ibalizumab,mab_igg4,Far,0.3430,25.0000,sucrose,0.2500,6.0000,1.1500,1.1610,-0.0041,False
287,ibalizumab,mab_igg4,Near-pI,0.8710,80.0000,sucrose,0.5000,7.4000,2.1200,1.9670,0.0326,True
290,ibalizumab,mab_igg4,Near-pI,0.8710,30.0000,trehalose,0.5000,7.4000,2.3700,1.1610,0.3100,True
503,nivolumab,mab_igg4,Far,0.2010,215.0000,sucrose,0.2000,6.0000,19.6000,17.6390,0.0458,True
224,pembrolizumab,mab_igg4,Far,0.2340,50.0000,sucrose,0.1000,5.0000,1.9900,3.9280,-0.2953,False
226,pembrolizumab,mab_igg4,Far,0.2340,80.0000,sucrose,0.5000,5.0000,3.8000,4.5090,-0.0743,False
228,pembrolizumab,mab_igg4,Far,0.2340,60.0000,sucrose,0.2500,5.0000,2.8800,3.9280,-0.1348,False
429,pembrolizumab,mab_igg4,Mixed,0.4560,80.0000,sucrose,0.4000,6.0000,5.0000,4.5090,0.0449,True
431,pembrolizumab,mab_igg4,Mixed,0.4560,80.0000,sucrose,0.4000,6.0000,3.2500,4.5090,-0.1422,False
433,pembrolizumab,mab_igg4,Mixed,0.4560,80.0000,sucrose,0.4000,6.0000,6.2500,4.5090,0.1418,True
434,pembrolizumab,mab_igg4,Mixed,0.4560,80.0000,sucrose,0.4000,6.0000,5.1300,4.5090,0.0561,True
435,pembrolizumab,mab_igg4,Mixed,0.4560,80.0000,sucrose,0.4000,6.0000,3.5000,4.5090,-0.1100,False
436,pembrolizumab,mab_igg4,Mixed,0.4560,80.0000,sucrose,0.4000,6.0000,5.5000,4.5090,0.0863,True
437,pembrolizumab,mab_igg4,Mixed,0.4560,99.0000,sucrose,0.4000,6.0000,4.0000,4.5090,-0.0520,False
438,pembrolizumab,mab_igg4,Mixed,0.4560,135.0000,sucrose,0.4000,6.0000,6.5000,11.1900,-0.2359,False
1,poly-higg,polyclonal,Near-pI,0.7880,145.0000,sucrose,1.0000,7.4000,13.2300,5.7300,0.3634,True
5,poly-higg,polyclonal,Near-pI,0.7880,142.0000,sucrose,0.5000,7.4000,8.3100,4.2810,0.2881,True
6,poly-higg,polyclonal,Near-pI,0.7880,70.0000,sucrose,1.0000,7.4000,8.8400,1.8020,0.6906,True
9,poly-higg,polyclonal,Near-pI,0.7880,140.0000,sucrose,0.2500,7.4000,5.3500,4.2810,0.0968,True
10,poly-higg,polyclonal,Near-pI,0.7880,52.0000,sucrose,0.7500,7.4000,3.5700,1.7020,0.3217,True
11,poly-higg,polyclonal,Near-pI,0.7880,145.0000,sucrose,1.0000,7.4000,14.4900,5.7300,0.4029,True
13,poly-higg,polyclonal,Near-pI,0.7880,142.0000,sucrose,1.0000,7.4000,17.2500,4.2810,0.6053,True
