Protein,Protein_class,Buffer,Buffer_conc,Ingredient,Conc_Level,Model_source,Source_class,Source_proteins,N_Samples,N_Baseline,N_Ingredient,Mean_Protein_conc,Conc_Range_Min,Conc_Range_Max,Median_Conc,R2_logK,R2_n,Residual_std_logK,Residual_std_n,Boot_pred_std_logK,Boot_pred_std_n,Baseline_logK_mean,Baseline_n_mean,dlogK_dc_at_median,dn_dc_at_median
Adalimumab,mAb_IgG1,Histidine,15.0,Tween-80,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Tween-80,Medium,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Tween-80,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Lysine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Lysine,Medium,direct,,,4.0,1.0,3.0,135.0,0.0,250.0,62.5,0.520537819586816,0.4149660941226021,0.596525281125151,0.039070117910667085,6.1329706492240375,0.5219148296064472,3.371962915701948,0.835679791708049,-0.006537599524440019,0.0004737208426169537
Adalimumab,mAb_IgG1,Histidine,15.0,Lysine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Proline,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Proline,Medium,direct,,,4.0,1.0,3.0,135.0,0.0,250.0,62.5,0.5292172977621525,0.23157273050047467,0.5042048352524412,0.04526808769076019,7.12902549564196,0.5292147570595758,3.371962915701948,0.835679791708049,-0.00718821699984531,0.0003886606775682311
Adalimumab,mAb_IgG1,Histidine,15.0,Proline,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Arginine,Low,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,Arginine,Medium,direct,,,4.0,1.0,3.0,135.0,0.0,250.0,62.5,0.9510106301417055,0.8934743222604558,0.1748820215389639,0.01864077616282265,1.5151971314753985,0.24711468151661706,3.371962915701948,0.835679791708049,-0.009717416747051821,0.0006718262280000942
Adalimumab,mAb_IgG1,Histidine,15.0,Arginine,High,no_model,,,,,,,,,,,,,,,,,,,
Adalimumab,mAb_IgG1,Histidine,15.0,NaCl,Low,no_model,,,,,,,,,,,,,,,,,,,
