Protein,Buffer,Buffer_pH,Buffer_Conc_mM,Temperature_C,Protein_Conc_mgmL,Shear_Rate_s-1,Viscosity_Pred_cP
Adalimumab,Histidine,6.0000,15.0000,25.0000,281.4228,1000,32.4748
Adalimumab,Histidine,6.0000,15.0000,25.0000,283.6309,1000,33.3987
Adalimumab,Histidine,6.0000,15.0000,25.0000,285.8389,1000,34.3532
Adalimumab,Histidine,6.0000,15.0000,25.0000,288.0470,1000,35.5006
Adalimumab,Histidine,6.0000,15.0000,25.0000,290.2550,1000,36.5337
Adalimumab,Histidine,6.0000,15.0000,25.0000,292.4631,1000,37.5991
Adalimumab,Histidine,6.0000,15.0000,25.0000,294.6711,1000,38.6980
Adalimumab,Histidine,6.0000,15.0000,25.0000,296.8792,1000,39.7158
Adalimumab,Histidine,6.0000,15.0000,25.0000,299.0872,1000,40.8816
Adalimumab,Histidine,6.0000,15.0000,25.0000,301.2953,1000,42.0863
Adalimumab,Histidine,6.0000,15.0000,25.0000,303.5034,1000,43.0333
Adalimumab,Histidine,6.0000,15.0000,25.0000,305.7114,1000,43.8808
Adalimumab,Histidine,6.0000,15.0000,25.0000,307.9195,1000,44.7477
Adalimumab,Histidine,6.0000,15.0000,25.0000,310.1275,1000,45.6148
Adalimumab,Histidine,6.0000,15.0000,25.0000,312.3356,1000,46.4850
Adalimumab,Histidine,6.0000,15.0000,25.0000,314.5436,1000,47.3379
Adalimumab,Histidine,6.0000,15.0000,25.0000,316.7517,1000,48.2553
Adalimumab,Histidine,6.0000,15.0000,25.0000,318.9597,1000,49.1950
Adalimumab,Histidine,6.0000,15.0000,25.0000,321.1678,1000,50.1550
Adalimumab,Histidine,6.0000,15.0000,25.0000,323.3758,1000,51.1355
Adalimumab,Histidine,6.0000,15.0000,25.0000,325.5839,1000,52.1370
Adalimumab,Histidine,6.0000,15.0000,25.0000,327.7919,1000,53.1673
Adalimumab,Histidine,6.0000,15.0000,25.0000,330.0000,1000,54.2362
Adalimumab,Histidine,6.0000,15.0000,25.0000,0.0000,10000,0.8413
Adalimumab,Histidine,6.0000,15.0000,25.0000,1.0000,10000,0.9531
Adalimumab,Histidine,6.0000,15.0000,25.0000,3.2081,10000,1.0651
Adalimumab,Histidine,6.0000,15.0000,25.0000,5.4161,10000,1.1412
Adalimumab,Histidine,6.0000,15.0000,25.0000,7.6242,10000,1.1924
Adalimumab,Histidine,6.0000,15.0000,25.0000,9.8322,10000,1.2298
Adalimumab,Histidine,6.0000,15.0000,25.0000,12.0403,10000,1.2642
Adalimumab,Histidine,6.0000,15.0000,25.0000,14.2483,10000,1.2978
Adalimumab,Histidine,6.0000,15.0000,25.0000,16.4564,10000,1.3340
Adalimumab,Histidine,6.0000,15.0000,25.0000,18.6644,10000,1.3676
Adalimumab,Histidine,6.0000,15.0000,25.0000,20.8725,10000,1.3957
Adalimumab,Histidine,6.0000,15.0000,25.0000,23.0805,10000,1.4220
Adalimumab,Histidine,6.0000,15.0000,25.0000,25.2886,10000,1.4483
Adalimumab,Histidine,6.0000,15.0000,25.0000,27.4966,10000,1.4745
Adalimumab,Histidine,6.0000,15.0000,25.0000,29.7047,10000,1.5007
Adalimumab,Histidine,6.0000,15.0000,25.0000,31.9128,10000,1.5270
Adalimumab,Histidine,6.0000,15.0000,25.0000,34.1208,10000,1.5535
Adalimumab,Histidine,6.0000,15.0000,25.0000,36.3289,10000,1.5794
Adalimumab,Histidine,6.0000,15.0000,25.0000,38.5369,10000,1.6044
Adalimumab,Histidine,6.0000,15.0000,25.0000,40.7450,10000,1.6298
Adalimumab,Histidine,6.0000,15.0000,25.0000,42.9530,10000,1.6555
Adalimumab,Histidine,6.0000,15.0000,25.0000,45.1611,10000,1.6821
Adalimumab,Histidine,6.0000,15.0000,25.0000,47.3691,10000,1.7105
Adalimumab,Histidine,6.0000,15.0000,25.0000,49.5772,10000,1.7392
Adalimumab,Histidine,6.0000,15.0000,25.0000,51.7852,10000,1.7684
Adalimumab,Histidine,6.0000,15.0000,25.0000,53.9933,10000,1.8017
Adalimumab,Histidine,6.0000,15.0000,25.0000,56.2013,10000,1.8361
Adalimumab,Histidine,6.0000,15.0000,25.0000,58.4094,10000,1.8710
Adalimumab,Histidine,6.0000,15.0000,25.0000,60.6174,10000,1.9040
Adalimumab,Histidine,6.0000,15.0000,25.0000,62.8255,10000,1.9400
Adalimumab,Histidine,6.0000,15.0000,25.0000,65.0336,10000,1.9765
Adalimumab,Histidine,6.0000,15.0000,25.0000,67.2416,10000,2.0135
Adalimumab,Histidine,6.0000,15.0000,25.0000,69.4497,10000,2.0443
Adalimumab,Histidine,6.0000,15.0000,25.0000,71.6577,10000,2.0750
Adalimumab,Histidine,6.0000,15.0000,25.0000,73.8658,10000,2.1040
Adalimumab,Histidine,6.0000,15.0000,25.0000,76.0738,10000,2.1368
Adalimumab,Histidine,6.0000,15.0000,25.0000,78.2819,10000,2.1738
Adalimumab,Histidine,6.0000,15.0000,25.0000,80.4899,10000,2.2153
Adalimumab,Histidine,6.0000,15.0000,25.0000,82.6980,10000,2.2580
Adalimumab,Histidine,6.0000,15.0000,25.0000,84.9060,10000,2.3045
Adalimumab,Histidine,6.0000,15.0000,25.0000,87.1141,10000,2.3587
Adalimumab,Histidine,6.0000,15.0000,25.0000,89.3221,10000,2.4237
Adalimumab,Histidine,6.0000,15.0000,25.0000,91.5302,10000,2.5164
Adalimumab,Histidine,6.0000,15.0000,25.0000,93.7383,10000,2.6148
Adalimumab,Histidine,6.0000,15.0000,25.0000,95.9463,10000,2.7247
Adalimumab,Histidine,6.0000,15.0000,25.0000,98.1544,10000,2.8388
