ID,Protein_type,Protein_class_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,
F68,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0,1.24,1.24,1.24,1.24,1.24,
F69,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0,1.33,1.33,1.33,1.33,1.33,
F70,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0,1.6,1.6,1.6,1.6,1.6,
F71,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,2.35,2.35,2.35,2.35,2.35,
F72,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0,1.21,1.21,1.21,1.21,1.21,
F73,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0,1.31,1.31,1.31,1.31,1.31,
F74,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.4,tween-20,0.05,none,0,1.56,1.56,1.56,1.56,1.56,
F75,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-20,0.05,none,0,2.33,2.33,2.33,2.33,2.33,
F76,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,none,0,none,0,1.42,1.42,1.42,1.42,1.42,
F77,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,none,0,none,0,3.1,3.1,3.1,3.1,3.1,
F78,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,none,0,none,0,1.42,1.42,1.42,1.42,1.42,
F79,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,none,0,none,0,3.1,3.1,3.1,3.1,3.1,
F80,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-20,0.1,none,0,1.47,1.47,1.47,1.47,1.47,
F81,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-20,0.1,none,0,3.15,3.15,3.15,3.15,3.15,
F82,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-80,0.1,none,0,1.54,1.54,1.54,1.54,1.54,
F83,none,none,NaN,none,none,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-80,0.1,none,0,3.22,3.22,3.22,3.22,3.22,
F84,BSA,other,66,4.7,0.3,145,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,9,9,9,9,9,
F85,BGG,polyclonal,150,6.6,1,163,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,15.7,15.7,13,11.3,9.5,
F86,poly-hIgG,polyclonal,150,7.6,1,166,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,16.6,16.6,16.6,15.2,9.3,
F87,BSA,other,66,4.7,0.3,65,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,4.3,4.3,4.3,4.3,4.3,
F88,BGG,polyclonal,150,6.6,1,77,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,5,5,5,5,5,
F89,poly-hIgG,polyclonal,150,7.6,1,72,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,5.1,4.4,4.4,4.4,4.4,
F90,BGG,polyclonal,150,6.6,1,66,25,PBS,7.4,10,NaCl,140,Trehalose,0.47,none,0,none,0,2.1,2.1,2.1,2.1,2.1,
F91,BSA,other,66,4.7,0.3,67,25,PBS,7.4,10,NaCl,140,Trehalose,0.466,none,0,none,0,2.4,2.3,2.1,2.1,2,
F92,poly-hIgG,polyclonal,150,7.6,1,68,25,PBS,7.4,10,NaCl,140,Trehalose,0.447,none,0,none,0,3,2.5,2.36,2.36,2.3,
F93,BGG,polyclonal,150,6.6,1,152,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,4.1,4.1,4.1,3.82,2.7,
F94,BGG,polyclonal,150,6.6,1,87,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,2.5,2.5,2.5,2.3,1.8,
F95,BGG,polyclonal,150,6.6,1,66,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,1.67,1.67,1.67,1.67,1.67,
F96,BGG,polyclonal,150,6.6,1,57,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,1.4,1.4,1.4,1.4,1.4,
F97,BGG,polyclonal,150,6.6,1,165,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,7,6.3,6,5.27,4.25,
