ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,VH_pI,VL_pI,VH_Charge_at_Buffer_pH,VL_Charge_at_Buffer_pH,Fv_Charge_at_Buffer_pH,Whole_Antibody_Charge_at_Buffer_pH
53,poly-hIgG,Polyclonal,3,150,7.6,1,86.4,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.003,none,0,0.9,0.9,2.53,2.53,2.53,2.1,1.75,,,,,,-2.167
54,poly-hIgG,Polyclonal,3,150,7.6,1,141,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.1067,none,0,0.9,0.9,5.69,3.51,3.46,3.1,2.75,,,,,,-2.167
55,poly-hIgG,Polyclonal,3,150,7.6,1,75,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.28,tween-20,0.228,none,0,0.9,0.9,2.88,2.51,2.3,2,1.73,,,,,,-2.167
56,BSA,Other,2,66,4.7,0.3,132,27.5,PBS,7.4,10,NaCl,140,Sucrose,0.46,tween-20,0.123,none,0,0.85,0.9,3.45,3.45,3.45,3.15,3.05,,,,,,-13.177
57,BSA,Other,2,66,4.7,0.3,83,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.218,none,0,0.85,0.9,2.24,2.22,1.84,1.63,1.47,,,,,,-13.177
58,poly-hIgG,Polyclonal,3,150,7.6,1,51.7,27.5,Histidine,6,100,NaCl,140,Sucrose,1.01,none,0,none,0,0.9,0.9,6.33,6.33,6.33,5.78,5.5,,,,,,13.941
59,poly-hIgG,Polyclonal,3,150,7.6,1,118.7,27.5,Histidine,6,100,NaCl,140,Sucrose,0.53,none,0,none,0,0.9,0.9,6.33,5.18,5.06,4.41,3.88,,,,,,13.941
60,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Trehalose,0.5,none,0,none,0,0,0,1.38,1.38,1.38,1.38,1.38,,,,,,
61,none,None,0,0,0,0,0,25,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,0,0,3.05,3.05,3.05,3.05,3.05,,,,,,
62,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0,0,0.98,0.98,0.98,0.98,0.98,,,,,,
63,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,1,none,0,none,0,0,0,3.3,3.3,3.3,3.3,3.3,,,,,,
64,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.1,none,0,0,0,1.04,1.04,1.04,1.04,1.04,,,,,,
65,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-20,0.05,none,0,0,0,1.01,1.01,1.01,1.01,1.01,,,,,,
66,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.1,none,0,0,0,1.11,1.11,1.11,1.11,1.11,,,,,,
67,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,none,0,tween-80,0.05,none,0,0,0,1.04,1.04,1.04,1.04,1.04,,,,,,
68,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.1,tween-20,0.1,none,0,0,0,1.24,1.24,1.24,1.24,1.24,,,,,,
69,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.2,tween-20,0.1,none,0,0,0,1.33,1.33,1.33,1.33,1.33,,,,,,
70,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.4,tween-20,0.1,none,0,0,0,1.6,1.6,1.6,1.6,1.6,,,,,,
71,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-20,0.1,none,0,0,0,2.35,2.35,2.35,2.35,2.35,,,,,,
72,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.1,tween-20,0.05,none,0,0,0,1.21,1.21,1.21,1.21,1.21,,,,,,
73,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.2,tween-20,0.05,none,0,0,0,1.31,1.31,1.31,1.31,1.31,,,,,,
74,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.4,tween-20,0.05,none,0,0,0,1.56,1.56,1.56,1.56,1.56,,,,,,
75,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-20,0.05,none,0,0,0,2.33,2.33,2.33,2.33,2.33,,,,,,
76,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,none,0,none,0,0,0,1.42,1.42,1.42,1.42,1.42,,,,,,
77,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,1,none,0,none,0,0,0,3.1,3.1,3.1,3.1,3.1,,,,,,
78,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-20,0.1,none,0,0,0,1.47,1.47,1.47,1.47,1.47,,,,,,
79,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-20,0.1,none,0,0,0,3.15,3.15,3.15,3.15,3.15,,,,,,
80,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,0.5,tween-80,0.1,none,0,0,0,1.54,1.54,1.54,1.54,1.54,,,,,,
81,none,None,0,0,0,0,0,25,Histidine,6,100,NaCl,140,Trehalose,1,tween-80,0.1,none,0,0,0,3.22,3.22,3.22,3.22,3.22,,,,,,
82,BSA,Other,2,66,4.7,0.3,145,27.5,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,0.85,0.9,9.97,9.97,9.97,9.97,10.35,,,,,,-13.177
83,BGG,Polyclonal,3,150,6.6,1,163,27.5,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,0.9,0.9,16.93,16.93,14.01,11.65,9.5,,,,,,-3.653
84,poly-hIgG,Polyclonal,3,150,7.6,1,166,27.5,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,0.9,0.9,17.81,17.81,17.81,15.6,9.3,,,,,,-2.167
85,BSA,Other,2,66,4.7,0.3,65,27.5,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,0.85,0.9,4.95,4.95,4.95,4.95,4.3,,,,,,-13.177
86,BGG,Polyclonal,3,150,6.6,1,77,27.5,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,0.9,0.9,5.75,5.75,5.75,5.75,5.7,,,,,,-3.653
87,poly-hIgG,Polyclonal,3,150,7.6,1,72,27.5,PBS,7.4,10,NaCl,140,Trehalose,1,none,0,none,0,0.9,0.9,5.87,5.06,5.06,5.06,4.4,,,,,,-2.167
88,BGG,Polyclonal,3,150,6.6,1,66,27.5,PBS,7.4,10,NaCl,140,Trehalose,0.47,none,0,none,0,0.9,0.9,2.42,2.42,2.42,2.42,2.4,,,,,,-3.653
89,BSA,Other,2,66,4.7,0.3,67,27.5,PBS,7.4,10,NaCl,140,Trehalose,0.466,none,0,none,0,0.85,0.9,2.76,2.65,2.42,2.42,2,,,,,,-13.177
90,poly-hIgG,Polyclonal,3,150,7.6,1,68,27.5,PBS,7.4,10,NaCl,140,Trehalose,0.447,none,0,none,0,0.9,0.9,3.45,2.88,2.71,2.71,2.7,,,,,,-2.167
91,BGG,Polyclonal,3,150,6.6,1,152,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,4.5,4.5,4.5,4,2.7,,,,,,14.698
92,BGG,Polyclonal,3,150,6.6,1,87,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,2.88,2.88,2.88,2.53,1.8,,,,,,14.698
93,BGG,Polyclonal,3,150,6.6,1,66,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.92,1.92,1.92,1.92,1.9,,,,,,14.698
94,BGG,Polyclonal,3,150,6.6,1,57,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.61,1.61,1.61,1.61,1.6,,,,,,14.698
95,BGG,Polyclonal,3,150,6.6,1,165,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,7.52,6.78,6.45,5.42,4.25,,,,,,14.698
96,poly-hIgG,Polyclonal,3,150,7.6,1,144,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,6.11,5.77,5.77,5.09,3.7,,,,,,13.941
97,poly-hIgG,Polyclonal,3,150,7.6,1,94,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,2.86,2.86,2.86,2.6,1.68,,,,,,13.941
98,poly-hIgG,Polyclonal,3,150,7.6,1,66,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.61,1.61,1.61,1.61,1.6,,,,,,13.941
99,poly-hIgG,Polyclonal,3,150,7.6,1,45,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.32,1.32,1.32,1.32,1.3,,,,,,13.941
100,poly-hIgG,Polyclonal,3,150,7.6,1,165,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.9,0.9,6.88,6.88,6.88,6.17,4.18,,,,,,13.941
101,BGG,Polyclonal,3,150,6.6,1,95.85,27.5,Histidine,6,100,NaCl,140,none,0,tween-20,0.1,none,0,0.9,0.9,4.36,4.36,4.04,3.47,2.8,,,,,,14.698
102,BGG,Polyclonal,3,150,6.6,1,150.8,27.5,Histidine,6,100,NaCl,140,none,0,tween-80,0.25,none,0,0.9,0.9,5.96,6.07,6.18,5.7,3.85,,,,,,14.698
103,BGG,Polyclonal,3,150,6.6,1,44,27.5,Histidine,6,100,NaCl,140,Sucrose,0.25,tween-20,0.15,none,0,0.9,0.9,2.02,2.02,2.02,2.02,2,,,,,,14.698
104,BGG,Polyclonal,3,150,6.6,1,71.5,27.5,Histidine,6,100,NaCl,140,Sucrose,0.75,tween-80,0.2,none,0,0.9,0.9,5.23,5.23,5.23,4.6,4.18,,,,,,14.698
105,poly-hIgG,Polyclonal,3,150,7.6,1,135,27.5,Histidine,6,100,NaCl,140,none,0,tween-20,0.2,none,0,0.9,0.9,3.59,3.59,3.59,3.19,2.96,,,,,,13.941
106,poly-hIgG,Polyclonal,3,150,7.6,1,174,27.5,Histidine,6,100,NaCl,140,none,0,tween-80,0.1,none,0,0.9,0.9,6.35,6.35,6.35,5.1,4.82,,,,,,13.941
107,poly-hIgG,Polyclonal,3,150,7.6,1,89,27.5,Histidine,6,100,NaCl,140,Sucrose,0.5,tween-20,0.05,none,0,0.9,0.9,3.94,3.97,3.99,4,3.64,,,,,,13.941
108,poly-hIgG,Polyclonal,3,150,7.6,1,63,27.5,Histidine,6,100,NaCl,140,Sucrose,1,tween-80,0.15,none,0,0.9,0.9,6.24,6.24,6.24,6.24,5.43,,,,,,13.941
109,poly-hIgG,Polyclonal,3,150,7.6,1,202,27.5,Histidine,6,100,NaCl,140,none,0,tween-20,0.02,none,0,0.9,0.9,11.14,10.9,10.9,7.55,5.04,,,,,,13.941
110,poly-hIgG,Polyclonal,3,150,7.6,1,202,27.5,Histidine,6,100,NaCl,140,none,0,tween-80,0.02,none,0,0.9,0.9,10.33,9.11,9.11,6.93,6.33,,,,,,13.941
111,poly-hIgG,Polyclonal,3,150,7.6,1,211,27.5,PBS,7.4,10,NaCl,140,none,0,tween-20,0.02,none,0,0.9,0.9,11.97,11.17,9.87,6.92,6,,,,,,-2.167
112,poly-hIgG,Polyclonal,3,150,7.6,1,211,27.5,PBS,7.4,10,NaCl,140,none,0,tween-80,0.02,none,0,0.9,0.9,11.08,11.08,11.08,6.75,6,,,,,,-2.167
113,BSA,Other,2,66,4.7,0.3,98,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.85,0.9,1.43,1.43,1.43,1.43,1.4,,,,,,-1.739
114,BSA,Other,2,66,4.7,0.3,127,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.85,0.9,2.73,2.28,2.28,2.19,1.92,,,,,,-1.739
115,BSA,Other,2,66,4.7,0.3,194,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.85,0.9,3.43,3.43,3.43,3.14,2.5,,,,,,-1.739
116,BSA,Other,2,66,4.7,0.3,266,27.5,Histidine,6,100,NaCl,140,none,0,none,0,none,0,0.85,0.9,10.03,6.49,6.49,6,5.5,,,,,,-1.739
117,BSA,Other,2,66,4.7,0.3,72,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,1.75,1.68,1.61,1.5,1.36,,,,,,-13.177
118,BSA,Other,2,66,4.7,0.3,131,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,3.35,2.72,2.26,1.99,1.7,,,,,,-13.177
119,BSA,Other,2,66,4.7,0.3,183,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,3.42,3.23,2.93,2.51,2,,,,,,-13.177
120,BSA,Other,2,66,4.7,0.3,265,27.5,PBS,7.4,10,NaCl,140,none,0,none,0,none,0,0.85,0.9,5.6,5.6,5.45,4.64,4.4,,,,,,-13.177
121,BSA,Other,2,66,4.7,0.3,193,27.5,Acetate,6.7,20,NaCl,140,none,0,none,0,none,0,0.85,0.9,4.77,4.77,4.77,4.14,3.35,,,,,,-9.693
122,BSA,Other,2,66,4.7,0.3,66,27.5,Acetate,6,20,NaCl,140,none,0,none,0,none,0,0.85,0.9,1.47,1.47,1.47,1.47,1.47,,,,,,-1.739
123,BSA,Other,2,66,4.7,0.3,110,27.5,Acetate,6.5,20,NaCl,140,none,0,none,0,none,0,0.85,0.9,2.25,2.25,2.25,2.11,1.25,,,,,,-7.935
124,BSA,Other,2,66,4.7,0.3,132,27.5,Acetate,6.6,20,NaCl,140,none,0,none,0,none,0,0.85,0.9,2.71,2.71,2.71,2.71,2.4,,,,,,-8.867
125,poly-hIgG,Polyclonal,3,150,7.6,1,213,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,11.77,10.88,9.61,5.7,4.35,,,,,,41.809
126,poly-hIgG,Polyclonal,3,150,7.6,1,63,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.84,1.84,1.84,1.84,1.8,,,,,,41.809
127,poly-hIgG,Polyclonal,3,150,7.6,1,101,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,2.44,2.44,2.44,2.35,2.2,,,,,,41.809
128,poly-hIgG,Polyclonal,3,150,7.6,1,167,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,4.28,4.28,4.28,3.27,2.77,,,,,,41.809
129,BGG,Polyclonal,3,150,6.6,1,203,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,16.25,13.81,13.41,8.9,4.58,,,,,,47.028
130,BGG,Polyclonal,3,150,6.6,1,79,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,1.75,1.71,1.66,1.66,1.44,,,,,,47.028
131,BGG,Polyclonal,3,150,6.6,1,108,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,2.67,2.67,2.67,2.46,2.16,,,,,,47.028
132,BGG,Polyclonal,3,150,6.6,1,163,27.5,Acetate,5,20,NaCl,140,none,0,none,0,none,0,0.9,0.9,4.73,4.73,4.73,4.36,4.23,,,,,,47.028
133,BSA,Other,2,66,4.7,0.3,150,27.5,Acetate,5,20,NaCl,140,Sucrose,0.51,none,0,none,0,0.85,0.9,4.83,4.83,4.83,4.53,4.11,,,,,,19.914
134,BSA,Other,2,66,4.7,0.3,94,27.5,Acetate,5,20,NaCl,140,Sucrose,0.978,none,0,none,0,0.85,0.9,6.7,6.7,6.7,6.15,5.59,,,,,,19.914
135,poly-hIgG,Polyclonal,3,150,7.6,1,171,27.5,Acetate,5,20,NaCl,140,Sucrose,0.488,none,0,none,0,0.9,0.9,10.16,9.36,8.76,6.06,4.17,,,,,,41.809
136,poly-hIgG,Polyclonal,3,150,7.6,1,111,27.5,Acetate,5,20,NaCl,140,Sucrose,0.986,none,0,none,0,0.9,0.9,11.02,10.11,9.19,6.88,5.75,,,,,,41.809
137,BGG,Polyclonal,3,150,6.6,1,159,27.5,Acetate,5,20,NaCl,140,Sucrose,0.476,none,0,none,0,0.9,0.9,9.1,9.1,9.1,6.33,4.65,,,,,,47.028
138,BGG,Polyclonal,3,150,6.6,1,97,27.5,Acetate,5,20,NaCl,140,Sucrose,1,none,0,none,0,0.9,0.9,12.31,10.11,10.11,7.55,6.24,,,,,,47.028
139,BGG,Polyclonal,3,150,6.6,1,181,27.5,Acetate,5,20,NaCl,140,Sucrose,0.1,none,0,none,0,0.9,0.9,14.26,14.26,12.58,7.89,4.14,,,,,,47.028
