ID,Protein,Conc_Level,Buffer,Pred_Viscosity_100,Pred_Viscosity_1000,Pred_Viscosity_10000,Pred_Viscosity_100000,Pred_Viscosity_15000000,Model_source_NaCl,Conc_in_range_NaCl,Model_source_Sucrose,Conc_in_range_Sucrose,Warnings,Model_source_tween_20,Conc_in_range_tween_20,Model_source_tween_80,Conc_in_range_tween_80,Model_source_Trehalose,Conc_in_range_Trehalose,Model_source_Arginine,Conc_in_range_Arginine,Model_source_Proline,Conc_in_range_Proline,Model_source_Lysine,Conc_in_range_Lysine
F68,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F69,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F70,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F71,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F72,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F73,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F74,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F75,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F76,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,no_model,False,,,,,,
F77,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,no_model,False,,,,,,
F78,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,no_model,False,,,,,,
F79,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,,,no_model,False,,,,,,
F80,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,no_model,False,,,,,,
F81,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,no_model,False,,,,,,
F82,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,no_model,False,,,,,,
F83,none,Medium,Histidine_100mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Trehalose', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,no_model,False,,,,,,
F84,BSA,Medium,PBS_10mM,2.1640402590939396,2.0824751056825805,2.0039930056320454,1.928476005380182,1.7738570705953611,global_average,True,,,"Ingredient 'Trehalose' conc 1.0 outside trained range [0.0, 0.5]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F85,BGG,High,PBS_10mM,2.4560573713069855,2.459704216358429,2.4633573903699886,2.467015442101583,2.4749944677600237,global_average,True,,,"Ingredient 'Trehalose' conc 1.0 outside trained range [0.0, 0.25]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F86,poly-hIgG,High,PBS_10mM,2.4560573713069855,2.459704216358429,2.4633573903699886,2.467015442101583,2.4749944677600237,global_average,True,,,"Ingredient 'Trehalose' conc 1.0 outside trained range [0.0, 0.25]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F87,BSA,Medium,PBS_10mM,2.1640402590939396,2.0824751056825805,2.0039930056320454,1.928476005380182,1.7738570705953611,global_average,True,,,"Protein_conc 65.0 mg/mL for 'BSA' falls outside all observed bins; assigned to closest bin 'Medium'.; Ingredient 'Trehalose' conc 1.0 outside trained range [0.0, 0.5]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F88,BGG,Low,PBS_10mM,1.0983861422788388,1.1012491074650141,1.1041198308094264,1.106998012595985,1.1132865148490378,global_average,True,,,"Protein_conc 77.0 mg/mL for 'BGG' falls outside all observed bins; assigned to closest bin 'Low'.; Ingredient 'Trehalose' conc 1.0 outside trained range [0.0, 0.25]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F89,poly-hIgG,Low,PBS_10mM,1.0983861422788388,1.1012491074650141,1.1041198308094264,1.106998012595985,1.1132865148490378,global_average,True,,,"Ingredient 'Trehalose' conc 1.0 outside trained range [0.0, 0.25]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F90,BGG,Low,PBS_10mM,1.0983861422788388,1.1012491074650141,1.1041198308094264,1.106998012595985,1.1132865148490378,global_average,True,,,"Ingredient 'Trehalose' conc 0.47 outside trained range [0.0, 0.25]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F91,BSA,Medium,PBS_10mM,2.2671084300789395,2.1677480105977467,2.0727534503465836,1.9819318676426136,1.7978444541544796,global_average,True,,,,,,,,global_average,True,,,,,,
F92,poly-hIgG,Low,PBS_10mM,1.0983861422788388,1.1012491074650141,1.1041198308094264,1.106998012595985,1.1132865148490378,global_average,True,,,"Ingredient 'Trehalose' conc 0.447 outside trained range [0.0, 0.25]. Extrapolating (extrapolate=True).",,,,,global_average,False,,,,,,
F93,BGG,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F94,BGG,Medium,Histidine_100mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F95,BGG,Low,Histidine_100mM,1.555272,1.496882,1.440685,1.386597,1.275811,global_average,True,,,,,,,,,,,,,,,
F96,BGG,Low,Histidine_100mM,1.555272,1.496882,1.440685,1.386597,1.275811,global_average,True,,,,,,,,,,,,,,,
F97,BGG,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F98,poly-hIgG,Medium,Histidine_100mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F99,poly-hIgG,Low,Histidine_100mM,1.555272,1.496882,1.440685,1.386597,1.275811,global_average,True,,,,,,,,,,,,,,,
F100,poly-hIgG,Low,Histidine_100mM,1.555272,1.496882,1.440685,1.386597,1.275811,global_average,True,,,,,,,,,,,,,,,
F101,poly-hIgG,Low,Histidine_100mM,1.555272,1.496882,1.440685,1.386597,1.275811,global_average,True,,,,,,,,,,,,,,,
F102,poly-hIgG,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F103,BGG,Medium,Histidine_100mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,"No model for ingredient='tween-20', protein='BGG', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F104,BGG,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,"Protein_conc 150.8 mg/mL for 'BGG' falls outside all observed bins; assigned to closest bin 'High'.; No model for ingredient='tween-80', protein='BGG', buffer='Histidine_100mM', conc_level='High'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F105,BGG,Low,Histidine_100mM,2.189476851773403,2.0199350981472244,1.863523179418339,1.7192241168914333,1.4426625496204273,global_average,True,global_average,True,"Protein_conc 44.0 mg/mL for 'BGG' falls outside all observed bins; assigned to closest bin 'Low'.; No model for ingredient='tween-20', protein='BGG', buffer='Histidine_100mM', conc_level='Low'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F106,BGG,Low,Histidine_100mM,1.6837218733786792,1.5910876267619538,1.503556297010495,1.4208456080232426,1.256261844790347,global_average,True,global_average,True,"Protein_conc 71.5 mg/mL for 'BGG' falls outside all observed bins; assigned to closest bin 'Low'.; No model for ingredient='tween-80', protein='BGG', buffer='Histidine_100mM', conc_level='Low'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F107,poly-hIgG,Medium,Histidine_100mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,"No model for ingredient='tween-20', protein='poly-hIgG', buffer='Histidine_100mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F108,poly-hIgG,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,"No model for ingredient='tween-80', protein='poly-hIgG', buffer='Histidine_100mM', conc_level='High'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F109,poly-hIgG,Low,Histidine_100mM,2.251816350638243,2.0638840112676604,1.8916379943730055,1.7337665508064355,1.434272545813416,global_average,True,global_average,True,"No model for ingredient='tween-20', protein='poly-hIgG', buffer='Histidine_100mM', conc_level='Low'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F110,poly-hIgG,Low,Histidine_100mM,1.5290483862614623,1.4602914972183092,1.39462752465546,1.3319155967018854,1.2050215677418588,global_average,True,global_average,False,"Ingredient 'Sucrose' conc 1.0 outside trained range [0.0, 0.8]. Extrapolating (extrapolate=True).; No model for ingredient='tween-80', protein='poly-hIgG', buffer='Histidine_100mM', conc_level='Low'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F111,poly-hIgG,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,"No model for ingredient='tween-20', protein='poly-hIgG', buffer='Histidine_100mM', conc_level='High'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F112,poly-hIgG,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,"No model for ingredient='tween-80', protein='poly-hIgG', buffer='Histidine_100mM', conc_level='High'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F113,poly-hIgG,High,PBS_10mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,"No model for ingredient='tween-20', protein='poly-hIgG', buffer='PBS_10mM', conc_level='High'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F114,poly-hIgG,High,PBS_10mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,"No model for ingredient='tween-80', protein='poly-hIgG', buffer='PBS_10mM', conc_level='High'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F115,BSA,Medium,Histidine_100mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F116,BSA,Medium,Histidine_100mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F117,BSA,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F118,BSA,High,Histidine_100mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F119,BSA,Medium,PBS_10mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F120,BSA,Medium,PBS_10mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F121,BSA,High,PBS_10mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F122,BSA,High,PBS_10mM,10.617169999999998,8.971366,7.580684000000001,6.405576000000001,4.439935,global_average,True,,,,,,,,,,,,,,,
F123,BSA,High,Acetate_20mM,5.204998000000001,4.53547,3.9520640000000005,3.4437020000000005,2.5521080000000005,direct,True,,,,,,,,,,,,,,,
F124,BSA,Medium,Acetate_20mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F125,BSA,Medium,Acetate_20mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F126,BSA,Medium,Acetate_20mM,3.451433,3.1150108,2.8113923999999995,2.5373772,2.029905,global_average,True,,,,,,,,,,,,,,,
F127,poly-hIgG,High,Acetate_20mM,8.671296,7.300282000000001,6.146038,5.174291,3.5579539999999996,direct,True,,,,,,,,,,,,,,,
F128,poly-hIgG,Low,Acetate_20mM,1.490851,1.473548,1.456446,1.439543,1.403434,global_average,True,,,,,,,,,,,,,,,
F129,poly-hIgG,Medium,Acetate_20mM,2.489108,2.43251,2.3772,2.323147,2.209733,direct,True,,,,,,,,,,,,,,,
F130,poly-hIgG,High,Acetate_20mM,8.671296,7.300282000000001,6.146038,5.174291,3.5579539999999996,direct,True,,,,,,,,,,,,,,,
F131,BGG,High,Acetate_20mM,9.326925232735025,7.937039621033103,6.754272831491511,5.747759596408185,4.045742544592788,class_inferred,True,,,,,,,,,,,,,,,
F132,BGG,Medium,Acetate_20mM,1.1456772209792012,1.199493646539285,1.2558382325021131,1.3148295378981618,1.4529524514490904,class_inferred,True,,,,,,,,,,,,,,,
F133,BGG,Medium,Acetate_20mM,1.1456772209792012,1.199493646539285,1.2558382325021131,1.3148295378981618,1.4529524514490904,class_inferred,True,,,,,,,,,,,,,,,
F134,BGG,High,Acetate_20mM,9.326925232735025,7.937039621033103,6.754272831491511,5.747759596408185,4.045742544592788,class_inferred,True,,,,,,,,,,,,,,,
F135,BSA,Medium,Acetate_20mM,3.9390135435988283,3.4859544135767995,3.085021216528815,2.7302135879044918,2.092846090779011,global_average,True,global_average,True,,,,,,,,,,,,,
F136,BSA,Medium,Acetate_20mM,3.4570736336399244,3.115793415287947,2.8082154481043333,2.5310105736149127,2.018732092259089,global_average,True,global_average,False,"Ingredient 'Sucrose' conc 0.978 outside trained range [0.0, 0.6]. Extrapolating (extrapolate=True).",,,,,,,,,,,,
F137,poly-hIgG,High,Acetate_20mM,3.528108605069369,3.4087174486555036,3.293379366663524,3.181957203212253,2.952388126371191,direct,True,global_average,True,,,,,,,,,,,,,
F138,poly-hIgG,Medium,Acetate_20mM,2.4931818837837256,2.433129490200694,2.374524466595334,2.3173301799025854,2.197586872546697,direct,True,global_average,False,"Ingredient 'Sucrose' conc 0.986 outside trained range [0.0, 0.6]. Extrapolating (extrapolate=True).",,,,,,,,,,,,
F139,BGG,High,Acetate_20mM,3.8639159306036817,3.7825832282930536,3.702970454832663,3.6250409173847737,3.461108481718317,class_inferred,True,global_average,True,,,,,,,,,,,,,
F140,BGG,Medium,Acetate_20mM,1.147549586884363,1.1997950073132433,1.2544191002410323,1.3115304507825865,1.4449551788220603,class_inferred,True,global_average,False,"Ingredient 'Sucrose' conc 1.0 outside trained range [0.0, 0.6]. Extrapolating (extrapolate=True).",,,,,,,,,,,,
F141,BGG,High,Acetate_20mM,7.54505652132081,6.869587111372738,6.254703725076913,5.694961458183616,4.644268739643676,class_inferred,True,global_average,True,,,,,,,,,,,,,
F142,BGG,High,Acetate_20mM,7.54505652132081,6.869587111372738,6.254703725076913,5.694961458183616,4.644268739643676,class_inferred,True,global_average,True,,,,,,,,,,,,,
F143,BGG,Medium,Acetate_20mM,1.319355332587457,1.3537069802930206,1.3889552429978582,1.425123762429214,1.5071253941859282,class_inferred,True,global_average,True,,,,,,,,,,,,,
F144,BGG,Low,Acetate_20mM,1.847275705686784,1.7417147500905519,1.642189268346451,1.5483529969327503,1.362280456359914,global_average,True,global_average,True,Protein_conc 75.0 mg/mL for 'BGG' falls outside all observed bins; assigned to closest bin 'Low'.,,,,,,,,,,,,
F145,BSA,High,Acetate_20mM,4.21059770609916,3.92548242238919,3.6597401347382577,3.412050045877718,2.929642516533552,direct,True,global_average,True,,,,,,,,,,,,,
F146,BSA,Medium,Acetate_20mM,3.9746504951249197,3.515493288200623,3.109395870457193,2.750224601545407,2.105589463876672,global_average,True,global_average,True,,,,,,,,,,,,,
F147,BSA,Medium,Acetate_20mM,3.9746504951249197,3.515493288200623,3.109395870457193,2.750224601545407,2.105589463876672,global_average,True,global_average,True,,,,,,,,,,,,,
F148,BSA,Low,Acetate_20mM,1.2624317002362986,1.222680354409649,1.1841816900982343,1.1468977716383142,1.0697772299696897,global_average,True,global_average,True,Protein_conc 63.0 mg/mL for 'BSA' falls outside all observed bins; assigned to closest bin 'Low'.,,,,,,,,,,,,
F149,poly-hIgG,High,Acetate_20mM,7.014661929923733,6.318439394067068,5.691423037431571,5.126724060183265,4.084274427697444,direct,True,global_average,True,,,,,,,,,,,,,
F150,poly-hIgG,Medium,Acetate_20mM,2.8664497412560337,2.7452559087166777,2.6291914935084955,2.518037351109601,2.292139773171833,direct,True,global_average,True,Protein_conc 158.0 mg/mL for 'poly-hIgG' falls outside all observed bins; assigned to closest bin 'Medium'.,,,,,,,,,,,,
F151,poly-hIgG,Medium,Acetate_20mM,2.8664497412560337,2.7452559087166777,2.6291914935084955,2.518037351109601,2.292139773171833,direct,True,global_average,True,Protein_conc 95.0 mg/mL for 'poly-hIgG' falls outside all observed bins; assigned to closest bin 'Medium'.,,,,,,,,,,,,
F152,poly-hIgG,Low,Acetate_20mM,1.7707660799702034,1.714572588827977,1.6601661055159262,1.6074893777898995,1.4985717068144961,global_average,True,global_average,True,,,,,,,,,,,,,
F153,poly-hIgG,High,Histidine_15mM,10.419022093808922,8.441409309253642,6.839163069698815,5.541035836593939,3.5048553986197395,,,,,,,,,,,,,,,,,
F154,poly-hIgG,High,Acetate_20mM,17.17979165103362,13.587009923421347,10.745580761920548,8.49837503334075,5.100411894087652,,,,,,,,,,,,,,,,,
F155,poly-hIgG,High,Acetate_20mM,17.17979165103362,13.587009923421347,10.745580761920548,8.49837503334075,5.100411894087652,,,,,,,,,,,,,,,,,
F156,poly-hIgG,Medium,Acetate_20mM,8.242290972434565,6.753065188895763,5.532914282933343,4.533221523261136,2.9381419359560716,,,,,,,,,,,,,,,,,
F157,poly-hIgG,High,Histidine_15mM,10.419022093808922,8.441409309253642,6.839163069698815,5.541035836593939,3.5048553986197395,,,,,,,,,,,,,,,,,
F158,poly-hIgG,Medium,Acetate_20mM,8.242290972434565,6.753065188895763,5.532914282933343,4.533221523261136,2.9381419359560716,,,,,,,,,,,,,,,,,
F159,poly-hIgG,High,Histidine_36mM,13.266705350312266,10.542544269466921,8.377758558940847,6.657485076126899,4.037365680343412,global_average,True,,,,,,,,,,,,,,,
F160,poly-hIgG,Medium,Acetate_20mM,6.379431502093047,5.3466095338527015,4.4810026791826045,3.755539909660107,2.5571784838168083,direct,True,,,,,,,,,,,,,,,
F161,poly-hIgG,High,Histidine_15mM,10.419022093808922,8.441409309253642,6.839163069698815,5.541035836593939,3.5048553986197395,,,,,,,,,,,,,,,,,
F162,poly-hIgG,High,Histidine_15mM,10.419022093808922,8.441409309253642,6.839163069698815,5.541035836593939,3.5048553986197395,,,,,,,,,,,,,,,,,
F163,Adalimumab,High,Histidine_15mM,7.223265192132082,6.0319337045913635,5.03708824870734,4.206322427906134,2.841611254596343,,,,,,,,,,,,,,,,,
F164,Adalimumab,High,Acetate_20mM,6.759990470875454,5.5404250443893295,4.540880612886598,3.7216633336408727,2.4138833029612807,,,,,,,,,,,,,,,,,
F165,Adalimumab,Low,Acetate_20mM,2.3408016473247684,2.0962670811246924,1.8772781027513337,1.6811660626654747,1.3223203251850948,,,,,,,,,,,,,,,,,
F166,Adalimumab,Low,Acetate_20mM,2.3408016473247684,2.0962670811246924,1.8772781027513337,1.6811660626654747,1.3223203251850948,,,,,"No model for ingredient='tween-80', protein='Adalimumab', buffer='Acetate_20mM', conc_level='Low'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F167,Adalimumab,Low,Acetate_20mM,2.939462,2.597096,2.294605,2.027347,1.548453,,,class_inferred,True,,,,,,,,,,,,,
