ID,Protein,Conc_Level,Buffer,Pred_Viscosity_100,Pred_Viscosity_1000,Pred_Viscosity_10000,Pred_Viscosity_100000,Pred_Viscosity_15000000,Model_source_NaCl,Conc_in_range_NaCl,Model_source_Sucrose,Conc_in_range_Sucrose,Warnings,Model_source_tween_20,Conc_in_range_tween_20,Model_source_tween_80,Conc_in_range_tween_80,Model_source_Trehalose,Conc_in_range_Trehalose,Model_source_Arginine,Conc_in_range_Arginine,Model_source_Proline,Conc_in_range_Proline,Model_source_Lysine,Conc_in_range_Lysine
F35,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F36,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F37,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F38,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-20', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",no_model,False,,,,,,,,,,
F39,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F40,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,,,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F41,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F42,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F43,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
F44,none,Medium,PBS_10mM,1.0,1.0,1.0,1.0,1.0,no_model,False,no_model,False,"No concentration boundaries found for 'none'; defaulting to 'Medium'.; No baseline found for protein='none', buffer='PBS_10mM', conc_level='Medium'.  Baseline set to 0 (1 cP); estimates will reflect ingredient effects only.; No model for ingredient='NaCl', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='Sucrose', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.; No model for ingredient='tween-80', protein='none', buffer='PBS_10mM', conc_level='Medium'.  Ingredient effect assumed zero.",,,no_model,False,,,,,,,,
