ID,Protein_type,Protein_class_type,kP,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Excipient_type,Excipient_conc,C_Class,HCI,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000,Charge,ProtPi PI,Unnamed: 29,_conc_bin
83,BGG,Polyclonal,3.0,150,6.6,1.0,163.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.9,0.9,16.93,16.93,14.01,11.65,9.5,,,,
86,BGG,Polyclonal,3.0,150,6.6,1.0,77.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.9,0.9,5.75,5.75,5.75,5.75,5.7,,,,
88,BGG,Polyclonal,3.0,150,6.6,1.0,66.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,0.47,none,0.0,none,0.0,0.9,0.9,2.42,2.42,2.42,2.42,2.4,,,,
91,BGG,Polyclonal,3.0,150,6.6,1.0,152.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,4.5,4.5,4.5,4.0,2.7,,,,
92,BGG,Polyclonal,3.0,150,6.6,1.0,87.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,2.88,2.88,2.88,2.53,1.8,,,,
93,BGG,Polyclonal,3.0,150,6.6,1.0,66.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.92,1.92,1.92,1.92,1.9,,,,
94,BGG,Polyclonal,3.0,150,6.6,1.0,57.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.61,1.61,1.61,1.61,1.6,,,,
95,BGG,Polyclonal,3.0,150,6.6,1.0,165.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,7.52,6.78,6.45,5.42,4.25,,,,
101,BGG,Polyclonal,3.0,150,6.6,1.0,95.85,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-20,0.1,none,0.0,0.9,0.9,4.36,4.36,4.04,3.47,2.8,,,,
102,BGG,Polyclonal,3.0,150,6.6,1.0,150.8,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,tween-80,0.25,none,0.0,0.9,0.9,5.96,6.07,6.18,5.7,3.85,,,,
103,BGG,Polyclonal,3.0,150,6.6,1.0,44.0,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.25,tween-20,0.15,none,0.0,0.9,0.9,2.02,2.02,2.02,2.02,2.0,,,,
104,BGG,Polyclonal,3.0,150,6.6,1.0,71.5,27.5,Histidine,6.0,100.0,NaCl,140.0,Sucrose,0.75,tween-80,0.2,none,0.0,0.9,0.9,5.23,5.23,5.23,4.6,4.18,,,,
129,BGG,Polyclonal,3.0,150,6.6,1.0,203.0,27.5,Acetate,5.0,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,16.25,13.81,13.41,8.9,4.58,,,,
130,BGG,Polyclonal,3.0,150,6.6,1.0,79.0,27.5,Acetate,5.0,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,1.75,1.71,1.66,1.66,1.44,,,,
131,BGG,Polyclonal,3.0,150,6.6,1.0,108.0,27.5,Acetate,5.0,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,2.67,2.67,2.67,2.46,2.16,,,,
132,BGG,Polyclonal,3.0,150,6.6,1.0,163.0,27.5,Acetate,5.0,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.9,0.9,4.73,4.73,4.73,4.36,4.23,,,,
137,BGG,Polyclonal,3.0,150,6.6,1.0,159.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,0.476,none,0.0,none,0.0,0.9,0.9,9.1,9.1,9.1,6.33,4.65,,,,
138,BGG,Polyclonal,3.0,150,6.6,1.0,97.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,1.0,none,0.0,none,0.0,0.9,0.9,12.31,10.11,10.11,7.55,6.24,,,,
139,BGG,Polyclonal,3.0,150,6.6,1.0,181.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.9,0.9,14.26,14.26,12.58,7.89,4.14,,,,
140,BGG,Polyclonal,3.0,150,6.6,1.0,154.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.9,0.9,6.11,5.67,5.67,4.38,3.45,,,,
141,BGG,Polyclonal,3.0,150,6.6,1.0,102.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.9,0.9,2.76,2.76,2.76,2.46,2.0,,,,
142,BGG,Polyclonal,3.0,150,6.6,1.0,75.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.9,0.9,2.02,2.02,2.02,2.02,1.76,,,,
21,BSA,Other,2.0,66,4.7,0.3,185.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.41,none,0.0,none,0.0,0.85,0.9,8.25,8.25,7.83,6.29,3.58,-13.177,5.885,,
22,BSA,Other,2.0,66,4.7,0.3,83.3,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.19,none,0.0,none,0.0,0.85,0.9,2.19,2.19,2.19,2.0,1.56,-13.177,5.885,,
28,BSA,Other,2.0,66,4.7,0.3,177.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,4.65,4.22,4.22,3.66,3.0,-13.177,5.885,,
56,BSA,Other,2.0,66,4.7,0.3,132.0,27.5,PBS,7.4,10.0,NaCl,140.0,Sucrose,0.46,tween-20,0.123,none,0.0,0.85,0.9,3.45,3.45,3.45,3.15,3.05,-13.177,5.885,,
57,BSA,Other,2.0,66,4.7,0.3,83.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,tween-20,0.218,none,0.0,0.85,0.9,2.24,2.22,1.84,1.63,1.47,-13.177,5.885,,
82,BSA,Other,2.0,66,4.7,0.3,145.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.85,0.9,9.97,9.97,9.97,9.97,10.35,-13.177,5.885,,
85,BSA,Other,2.0,66,4.7,0.3,65.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,1.0,none,0.0,none,0.0,0.85,0.9,4.95,4.95,4.95,4.95,4.3,-13.177,5.885,,
89,BSA,Other,2.0,66,4.7,0.3,67.0,27.5,PBS,7.4,10.0,NaCl,140.0,Trehalose,0.466,none,0.0,none,0.0,0.85,0.9,2.76,2.65,2.42,2.42,2.0,-13.177,5.885,,
113,BSA,Other,2.0,66,4.7,0.3,98.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,1.43,1.43,1.43,1.43,1.4,-1.739,5.885,,
114,BSA,Other,2.0,66,4.7,0.3,127.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,2.73,2.28,2.28,2.19,1.92,-1.739,5.885,,
115,BSA,Other,2.0,66,4.7,0.3,194.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,3.43,3.43,3.43,3.14,2.5,-1.739,5.885,,
116,BSA,Other,2.0,66,4.7,0.3,266.0,27.5,Histidine,6.0,100.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,10.03,6.49,6.49,6.0,5.5,-1.739,5.885,,
117,BSA,Other,2.0,66,4.7,0.3,72.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,1.75,1.68,1.61,1.5,1.36,-13.177,5.885,,
118,BSA,Other,2.0,66,4.7,0.3,131.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,3.35,2.72,2.26,1.99,1.7,-13.177,5.885,,
119,BSA,Other,2.0,66,4.7,0.3,183.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,3.42,3.23,2.93,2.51,2.0,-13.177,5.885,,
120,BSA,Other,2.0,66,4.7,0.3,265.0,27.5,PBS,7.4,10.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,5.6,5.6,5.45,4.64,4.4,-13.177,5.885,,
121,BSA,Other,2.0,66,4.7,0.3,193.0,27.5,Acetate,6.7,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,4.77,4.77,4.77,4.14,3.35,-9.693,5.885,,
122,BSA,Other,2.0,66,4.7,0.3,66.0,27.5,Acetate,6.0,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,1.47,1.47,1.47,1.47,1.47,-1.739,5.885,,
123,BSA,Other,2.0,66,4.7,0.3,110.0,27.5,Acetate,6.5,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,2.25,2.25,2.25,2.11,1.25,-7.935,5.885,,
124,BSA,Other,2.0,66,4.7,0.3,132.0,27.5,Acetate,6.6,20.0,NaCl,140.0,none,0.0,none,0.0,none,0.0,0.85,0.9,2.71,2.71,2.71,2.71,2.4,-8.867,5.885,,
133,BSA,Other,2.0,66,4.7,0.3,150.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,0.51,none,0.0,none,0.0,0.85,0.9,4.83,4.83,4.83,4.53,4.11,19.914,5.885,,
134,BSA,Other,2.0,66,4.7,0.3,94.0,27.5,Acetate,5.0,20.0,NaCl,140.0,Sucrose,0.978,none,0.0,none,0.0,0.85,0.9,6.7,6.7,6.7,6.15,5.59,19.914,5.885,,
143,BSA,Other,2.0,66,4.7,0.3,183.0,27.5,Acetate,6.7,20.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.85,0.9,3.68,3.68,3.68,3.68,3.68,-9.693,5.885,,
144,BSA,Other,2.0,66,4.7,0.3,125.0,27.5,Acetate,6.6,20.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.85,0.9,3.02,3.02,3.02,2.74,1.5,-8.867,5.885,,
145,BSA,Other,2.0,66,4.7,0.3,105.0,27.5,Acetate,6.5,20.0,NaCl,140.0,Sucrose,0.1,none,0.0,none,0.0,0.85,0.9,2.48,2.48,2.48,2.21,1.5,-7.935,5.885,,
